"pulls_spent","empirical_probability","cumulative_probability","risk_of_failure"
274,0.00434,0.47279,0.52721
275,0.00448,0.47727,0.52273
276,0.00425,0.48152,0.51848
277,0.00442,0.48594,0.51406
278,0.00425,0.49019,0.50981
279,0.00485,0.49504,0.50496
280,0.0046,0.49964,0.50036
281,0.0043,0.50394,0.49606
282,0.00419,0.50813,0.49187
283,0.0045,0.51263,0.48737
284,0.00446,0.51709,0.48291
285,0.00385,0.52094,0.47906
286,0.00465,0.52559,0.47441
287,0.00445,0.53004,0.46996
288,0.0042,0.53424,0.46576
289,0.0041,0.53834,0.46166
290,0.00407,0.54241,0.45759
291,0.00463,0.54704,0.45296
292,0.00408,0.55112,0.44888
293,0.00412,0.55524,0.44476
294,0.00417,0.55941,0.44059
295,0.00433,0.56374,0.43626
296,0.00422,0.56796,0.43204
297,0.00387,0.57183,0.42817
298,0.00396,0.57579,0.42421
299,0.00418,0.57997,0.42003
300,0.00409,0.58406,0.41594
301,0.00422,0.58828,0.41172
302,0.00437,0.59265,0.40735
303,0.00521,0.59786,0.40214
304,0.00541,0.60327,0.39673
305,0.00639,0.60966,0.39034
306,0.0071,0.61676,0.38324
307,0.00764,0.6244,0.3756
308,0.00838,0.63278,0.36722
309,0.00845,0.64123,0.35877
310,0.00904,0.65027,0.34973
311,0.00869,0.65896,0.34104
312,0.00887,0.66783,0.33217
313,0.00789,0.67572,0.32428
314,0.0079,0.68362,0.31638
315,0.00725,0.69087,0.30913
316,0.00616,0.69703,0.30297
317,0.00606,0.70309,0.29691
318,0.0055,0.70859,0.29141
319,0.00474,0.71333,0.28667
320,0.00486,0.71819,0.28181
321,0.00406,0.72225,0.27775
322,0.00374,0.72599,0.27401
323,0.00411,0.7301,0.2699
324,0.00407,0.73417,0.26583
325,0.00387,0.73804,0.26196
326,0.00365,0.74169,0.25831
327,0.00385,0.74554,0.25446
328,0.00378,0.74932,0.25068
329,0.00352,0.75284,0.24716
330,0.00341,0.75625,0.24375
331,0.00342,0.75967,0.24033
332,0.00351,0.76318,0.23682
333,0.00351,0.76669,0.23331
334,0.00324,0.76993,0.23007
335,0.00352,0.77345,0.22655
336,0.00358,0.77703,0.22297
337,0.00295,0.77998,0.22002
338,0.00327,0.78325,0.21675
339,0.00322,0.78647,0.21353
340,0.00324,0.78971,0.21029
341,0.00322,0.79293,0.20707
342,0.00329,0.79622,0.20378
343,0.00292,0.79914,0.20086
344,0.00317,0.80231,0.19769
345,0.00311,0.80542,0.19458
346,0.00286,0.80828,0.19172
347,0.00342,0.8117,0.1883
348,0.00299,0.81469,0.18531
349,0.00284,0.81753,0.18247
350,0.00277,0.8203,0.1797
351,0.00293,0.82323,0.17677
352,0.0025,0.82573,0.17427
353,0.00283,0.82856,0.17144
354,0.00264,0.8312,0.1688
355,0.00294,0.83414,0.16586
356,0.00242,0.83656,0.16344
357,0.00262,0.83918,0.16082
358,0.00263,0.84181,0.15819
359,0.00245,0.84426,0.15574
360,0.0025,0.84676,0.15324
361,0.00272,0.84948,0.15052
362,0.00267,0.85215,0.14785
363,0.00266,0.85481,0.14519
364,0.00225,0.85706,0.14294
365,0.00256,0.85962,0.14038
366,0.00232,0.86194,0.13806
367,0.00247,0.86441,0.13559
368,0.00234,0.86675,0.13325
369,0.00225,0.869,0.131
370,0.00202,0.87102,0.12898
371,0.0022,0.87322,0.12678
372,0.00215,0.87537,0.12463
373,0.00193,0.8773,0.1227
374,0.00231,0.87961,0.12039
375,0.00206,0.88167,0.11833
376,0.00208,0.88375,0.11625
377,0.0021,0.88585,0.11415
378,0.00242,0.88827,0.11173
379,0.00251,0.89078,0.10922
380,0.00278,0.89356,0.10644
381,0.00285,0.89641,0.10359
382,0.00315,0.89956,0.10044
383,0.00369,0.90325,0.09675
384,0.00388,0.90713,0.09287
385,0.0039,0.91103,0.08897
386,0.00396,0.91499,0.08501
387,0.00398,0.91897,0.08103
388,0.00423,0.9232,0.0768
389,0.00415,0.92735,0.07265
390,0.00418,0.93153,0.06847
391,0.00353,0.93506,0.06494
392,0.00337,0.93843,0.06157
393,0.00331,0.94174,0.05826
394,0.00266,0.9444,0.0556
395,0.00229,0.94669,0.05331
396,0.00194,0.94863,0.05137
397,0.00172,0.95035,0.04965
398,0.00136,0.95171,0.0482899999999999
399,0.00149,0.9532,0.0468
400,0.00127,0.95447,0.04553
401,0.00116,0.95563,0.04437
402,0.001,0.95663,0.04337
403,0.00084,0.95747,0.04253
404,0.00102,0.95849,0.04151
405,0.00115,0.95964,0.04036
406,0.00076,0.9604,0.0396
407,0.00071,0.96111,0.03889
408,0.00088,0.96199,0.03801
409,0.00099,0.96298,0.0370200000000001
410,0.00074,0.96372,0.03628
411,0.00084,0.96456,0.03544
412,0.00084,0.9654,0.0346
413,0.00092,0.96632,0.03368
414,0.00072,0.96704,0.03296
415,0.00075,0.96779,0.03221
416,7e-04,0.96849,0.03151
417,0.00069,0.96918,0.03082
418,0.00066,0.96984,0.03016
419,0.00074,0.97058,0.02942
420,0.00063,0.97121,0.02879
421,0.00061,0.97182,0.02818
422,0.00067,0.97249,0.02751
423,0.00063,0.97312,0.02688
424,0.00061,0.97373,0.02627
425,0.00067,0.9744,0.0256
426,5e-04,0.9749,0.0251
427,0.00068,0.97558,0.02442
428,0.00045,0.97603,0.02397
429,0.00072,0.97675,0.02325
430,0.00055,0.9773,0.0227000000000001
431,0.00056,0.97786,0.02214
432,0.00068,0.97854,0.02146
433,0.00053,0.97907,0.02093
434,0.00045,0.97952,0.0204800000000001
435,0.00066,0.98018,0.0198199999999999
436,0.00048,0.98066,0.01934
437,0.00055,0.98121,0.01879
438,0.00046,0.98167,0.01833
439,0.00051,0.98218,0.0178199999999999
440,0.00062,0.9828,0.0172
441,0.00034,0.98314,0.01686
442,0.00054,0.98368,0.01632
443,0.00053,0.98421,0.01579
444,0.00037,0.98458,0.01542
445,4e-04,0.98498,0.01502
